timestamp_unix,packet_ts,seq,argmax_idx,argmax_label,face_detected,latency_ms,neutral,happy,sad,angry
1774179638.942,26062.078037237,0,2,sad,1,55.990143002418336,0.0019453418208286166,0.10278310626745224,0.8115519285202026,0.0837196558713913
1774179639.178,26062.32552469,1,2,sad,1,44.49775800094358,0.0012957939179614186,0.06684642285108566,0.8746445178985596,0.05721324682235718
1774179639.227,26062.38395034,2,2,sad,1,34.70417299831752,0.000852207827847451,0.04346637427806854,0.9160971641540527,0.03958423435688019
1774179639.273,26062.430403455,3,2,sad,1,34.30130199922132,0.0009038937278091908,0.029076656326651573,0.9224545955657959,0.04756477475166321
1774179639.323,26062.474745601,4,2,sad,1,39.69705800045631,0.0012196155730634928,0.01955549232661724,0.800555408000946,0.17866943776607513
1774179639.367,26062.52490143,5,2,sad,1,33.857301001262385,0.00102666683960706,0.012730029411613941,0.8699266910552979,0.11631657928228378
1774179639.410,26062.569680577,6,2,sad,1,32.268574002955575,0.0008085501613095403,0.008324102498590946,0.9146542549133301,0.07621307671070099
1774179639.453,26062.612635349,7,2,sad,1,31.932683999912115,0.016789782792329788,0.008933613076806068,0.7167496681213379,0.25752684473991394
1774179639.495,26062.654697692,8,2,sad,1,32.00027699858765,0.12704510986804962,0.006600230000913143,0.6722419857978821,0.1941125988960266
1774179639.537,26062.696792276,9,2,sad,1,31.736682998598553,0.2809303104877472,0.006725245155394077,0.44701632857322693,0.265328049659729
1774179639.582,26062.738750859,10,2,sad,1,35.162063999450766,0.22975602746009827,0.004407068248838186,0.5707085728645325,0.19512826204299927
1774179639.624,26062.784314953,11,2,sad,1,31.315348998759873,0.42748528718948364,0.006386470980942249,0.43452659249305725,0.13160158693790436
1774179639.667,26062.827621226,12,0,neutral,1,31.51481200256967,0.4970057010650635,0.013880737125873566,0.3955029845237732,0.09361047297716141
1774179639.710,26062.86976768,13,0,neutral,1,32.21272199880332,0.4770871102809906,0.01923348754644394,0.4121990203857422,0.0914803221821785
1774179639.753,26062.912232654,14,0,neutral,1,32.03299900269485,0.49460822343826294,0.05235747992992401,0.3748650550842285,0.07816914469003677
1774179639.797,26062.954727461,15,0,neutral,1,33.713411998178344,0.4511570334434509,0.08185676485300064,0.3188442587852478,0.14814184606075287
1774179639.839,26062.99864868,16,0,neutral,1,32.492038000782486,0.45841342210769653,0.06597903370857239,0.3370710611343384,0.13853637874126434
1774179639.881,26063.041186969,17,0,neutral,1,32.080518001748715,0.44306468963623047,0.06194733828306198,0.26850926876068115,0.22647857666015625
1774179639.923,26063.083375387,18,0,neutral,1,31.131162999372464,0.3257451057434082,0.2800661325454712,0.19626866281032562,0.19791997969150543
1774179639.965,26063.124797709,19,3,angry,1,31.71679500155733,0.26961588859558105,0.27394869923591614,0.17570725083351135,0.2807280421257019
