timestamp_unix,packet_ts,seq,argmax_idx,argmax_label,face_detected,latency_ms,neutral,happy,sad,angry
1774255027.225,1261.914615019,0,3,angry,1,72.48074000017368,0.01909889467060566,0.018820151686668396,0.3442305326461792,0.6178504228591919
1774255027.789,1262.508251472,1,2,sad,1,43.47343299991735,0.01629858836531639,0.0188153013586998,0.537162184715271,0.42772388458251953
1774255027.879,1262.595011892,2,2,sad,1,46.29706600007921,0.047414131462574005,0.06000832840800285,0.48849785327911377,0.4040796160697937
1774255027.954,1262.678255287,3,2,sad,1,37.80150200009302,0.07594196498394012,0.11663369834423065,0.47620564699172974,0.3312186002731323
1774255028.030,1262.750723231,4,3,angry,1,42.26605300004849,0.049855999648571014,0.07922443002462387,0.3123684823513031,0.5585509538650513
1774255028.094,1262.821245808,5,3,angry,1,35.86422700004732,0.04038427025079727,0.05288250744342804,0.23664453625679016,0.670088529586792
1774255028.172,1262.891386733,6,3,angry,1,42.827945999988515,0.046583935618400574,0.2283029556274414,0.25785332918167114,0.46725961565971375
1774255028.239,1262.967503758,7,3,angry,1,34.58581099994262,0.08378570526838303,0.16933642327785492,0.3198772668838501,0.4270004332065582
1774255028.287,1263.015048942,8,2,sad,1,34.988554999927146,0.09357734024524689,0.22604593634605408,0.3618190288543701,0.3185575604438782
1774255028.337,1263.063735709,9,1,happy,1,35.923247000027914,0.06203572079539299,0.4889940023422241,0.24125875532627106,0.20771144330501556
1774255028.384,1263.110690222,10,3,angry,1,35.69304200004808,0.04436451941728592,0.31920862197875977,0.16406075656414032,0.4723660349845886
1774255028.432,1263.158847985,11,1,happy,1,35.80452400001377,0.05370740219950676,0.5305957198143005,0.10854057222604752,0.3071562349796295
1774255028.479,1263.20746777,12,1,happy,1,34.19212299991159,0.11959123611450195,0.5934077501296997,0.077214315533638,0.2097865790128708
1774255028.526,1263.255588496,13,1,happy,1,33.0013540001346,0.20601198077201843,0.49456411600112915,0.13759030401706696,0.1618335098028183
1774255028.571,1263.300113843,14,1,happy,1,33.57550700002321,0.14656782150268555,0.6277546286582947,0.12039929628372192,0.10527816414833069
1774255028.616,1263.34632161,15,1,happy,1,32.757186000026195,0.12637794017791748,0.5746896266937256,0.11580616235733032,0.18312622606754303
1774255028.664,1263.392751601,16,1,happy,1,34.21214099989811,0.08539273589849472,0.7201612591743469,0.0753759816288948,0.11906996369361877
1774255028.711,1263.440814919,17,1,happy,1,32.825685999796406,0.14086779952049255,0.6965052485466003,0.05590307340025902,0.10672380775213242
1774255028.761,1263.489079997,18,1,happy,1,34.78960899997219,0.12341581284999847,0.7283233404159546,0.07185445725917816,0.07640634477138519
1774255028.809,1263.538818642,19,1,happy,1,32.54736999997476,0.08244330435991287,0.817065954208374,0.0507846474647522,0.04970601201057434
