ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 01:05:25,1772553925.766,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:05:26,1772553926.766,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:05:27,1772553927.766,,,,,,,,240,240,0.0,0,0.00,0.00,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:28,1772553928.766,,,,,,,,208,208,-32.0,0,0.70,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:29,1772553929.766,,,,,,,,195,194,-14.0,0,0.49,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:30,1772553930.766,,,,,,,,181,181,-13.0,0,0.45,0.48,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:31,1772553931.766,,,,,,,,176,177,-4.0,0,0.14,0.37,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:32,1772553932.766,,,,,,,,169,169,-8.0,0,0.28,0.34,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:33,1772553933.766,,,,,,,,166,169,0.0,0,0.00,0.23,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:34,1772553934.766,,,,,,,,161,161,-8.0,0,0.28,0.27,0.00,0.00,0,1,finger_off|hold_low_ppgQ
