ts_iso,ts_unix,red,ir,bpm,rmssd,rmssd_ema,gsr,gsr_mean_5s,gsr_slope_1s,eda_tonic,eda_phasic_rms_10s,eda_scr_rate_per_min,baseline_ready,z_hr,z_lnrmssd,z_eda,S,arousal_rel,arousal,calm,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 00:18:38,1772551118.518,82143,82127,,,,,,,,,,0,0.00,0.00,0.00,0.00,,,,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-04 00:18:39,1772551119.518,150655,231300,,,,,,,,,,0,0.00,0.00,0.00,0.00,,,,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-04 00:18:40,1772551120.518,136065,190155,,,,229,236.4,0.0,245.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:41,1772551121.518,145773,224616,187.5,,,202,219.9,-27.0,242.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:42,1772551122.518,145881,224641,187.5,,,186,208.3,-16.0,237.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:43,1772551123.518,145967,227042,83.4,,,175,200.4,-11.0,232.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:44,1772551124.518,145497,225393,78.2,,,173,194.0,-2.0,226.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:45,1772551125.518,145267,225270,78.2,,,166,185.9,-7.0,221.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:46,1772551126.518,145394,226681,78.2,,,164,176.0,-2.0,215.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:47,1772551127.518,145161,228684,80.2,,,160,169.4,-4.0,210.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:48,1772551128.518,144972,228227,80.2,,,158,164.8,-2.0,205.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:49,1772551129.518,144477,226914,80.2,,,154,161.1,-4.0,200.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:50,1772551130.518,144604,228230,81.4,,,155,158.5,1.0,196.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:51,1772551131.518,144253,226661,83.9,,,153,156.5,-2.0,192.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:52,1772551132.518,144122,226453,83.9,,,151,155.0,-2.0,188.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:53,1772551133.518,144231,229111,80.2,,,151,153.8,0.0,185.1,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:54,1772551134.518,144206,230458,78.1,,,151,153.1,0.0,181.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.84,0.77,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:55,1772551135.518,144174,229410,78.1,,,151,152.2,0.0,179.0,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.84,0.77,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:56,1772551136.518,144309,230229,78.1,,,151,151.7,0.0,176.2,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.84,0.77,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:57,1772551137.518,144156,230058,78.1,,,150,151.2,-1.0,173.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.84,0.77,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:58,1772551138.518,144106,230365,78.1,,,148,150.7,-2.0,171.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.84,0.77,1,1,hrv_warming_up(need~30s)
2026-03-04 00:18:59,1772551139.518,143611,228482,78.1,,,150,150.5,2.0,169.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.84,0.77,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:00,1772551140.518,143564,228817,78.1,,,149,150.3,-1.0,167.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.84,0.77,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:01,1772551141.518,143544,229909,78.1,,,150,150.0,1.0,165.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.84,0.77,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:02,1772551142.518,143586,230426,80.6,,,148,149.7,-2.0,164.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.69,0.55,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:03,1772551143.518,143209,229157,80.6,,,151,149.6,3.0,162.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.69,0.55,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:04,1772551144.518,143201,229362,76.7,0.511,0.511,149,149.4,-2.0,161.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:05,1772551145.518,143187,229640,76.7,0.511,0.511,152,149.3,4.0,160.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:06,1772551146.518,143322,229851,77.6,0.489,0.507,148,149.1,-4.0,159.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.67,0.52,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:07,1772551147.518,143621,230479,76.5,0.470,0.502,152,149.1,4.0,158.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.72,0.60,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:08,1772551148.518,143348,230643,76.5,0.470,0.497,148,149.0,-4.0,157.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.72,0.60,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:09,1772551149.518,143442,230563,71.3,0.454,0.490,150,148.9,2.0,156.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.69,0.56,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:10,1772551150.518,143312,230196,75.9,0.442,0.483,148,148.7,-2.0,155.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.70,0.58,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:11,1772551151.518,142876,228533,75.9,0.442,0.477,148,148.6,0.0,155.1,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.70,0.58,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:12,1772551152.518,142905,228884,80.4,0.264,0.444,147,148.4,-1.0,154.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.70,0.58,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:13,1772551153.518,143005,229562,80.4,0.264,0.416,148,148.5,1.0,153.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.70,0.58,1,1,calibrating_baseline(0/60)
2026-03-04 00:19:14,1772551154.518,142977,229594,75.0,0.130,0.372,148,148.3,0.0,153.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.74,0.63,1,1,calibrating_baseline(1/60)
