ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 01:06:08,1772553968.392,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:06:09,1772553969.392,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:06:10,1772553970.392,,,,,,,,242,242,0.0,0,0.00,0.00,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:11,1772553971.392,,,,,,,,211,211,-31.0,0,0.70,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:12,1772553972.392,,,,,,,,196,199,-12.0,0,0.42,0.47,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:13,1772553973.392,,,,,,,,184,184,-15.0,0,0.52,0.51,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:14,1772553974.312,,,,,,,,176,177,-7.0,0,0.24,0.43,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:15,1772553975.392,,,,,,,,171,171,-6.0,0,0.21,0.35,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:16,1772553976.392,,,,,,,,167,168,-3.0,0,0.10,0.27,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:17,1772553977.392,,,,,,,,163,163,-5.0,0,0.17,0.24,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:18,1772553978.392,,,,,,,,161,161,-2.0,0,0.07,0.18,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:19,1772553979.392,,,,,,,,160,160,-1.0,0,0.03,0.13,0.00,0.00,0,1,finger_off|hold_low_ppgQ
