ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 09:39:38,1772584778.005,956,1393,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 09:39:39,1772584779.005,37930,57999,,,,,,,,,0,0.00,0.00,0.12,0.00,1,0,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:40,1772584780.005,150366,215209,,,,,,269,273,0.0,0,0.00,0.00,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:41,1772584781.005,156601,239552,,,,,,240,240,-33.0,0,0.70,0.50,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:42,1772584782.005,156233,239968,,,,,,223,224,-16.0,0,0.56,0.54,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:43,1772584783.005,155900,239845,,,,,,210,210,-14.0,0,0.49,0.53,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:44,1772584784.005,155360,238981,,,,,,201,202,-8.0,0,0.28,0.44,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:45,1772584785.005,155079,239084,,,,,,194,194,-8.0,0,0.28,0.39,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:46,1772584786.005,154869,239268,,,,,,187,189,-5.0,0,0.17,0.32,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:47,1772584787.005,154692,239371,,,,,,184,184,-5.0,0,0.17,0.27,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:48,1772584788.005,154189,237996,72.0,72.0,,,,179,179,-5.0,0,0.21,0.25,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:49,1772584789.005,154233,238743,73.2,73.2,,,,181,181,2.0,0,0.16,0.22,0.44,0.20,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-04 09:39:50,1772584790.005,154122,239082,74.0,74.0,,,,177,176,-5.0,0,0.22,0.22,0.92,0.89,1,1,hrv_warming_up(need~30s)
2026-03-04 09:39:51,1772584791.005,154079,239313,74.4,74.4,,,,179,179,3.0,0,0.19,0.21,0.94,0.91,1,1,hrv_warming_up(need~30s)
2026-03-04 09:39:52,1772584792.005,153595,237927,74.8,74.8,,,,172,173,-4.0,0,0.21,0.21,0.96,0.94,1,1,hrv_warming_up(need~30s)
2026-03-04 09:39:53,1772584793.005,153663,238773,76.4,76.4,,,,171,171,-2.0,0,0.18,0.20,0.95,0.93,1,1,hrv_warming_up(need~30s)
2026-03-04 09:39:54,1772584794.005,153685,239113,80.7,80.7,,,,169,170,-5.0,0,0.27,0.25,0.88,0.82,1,1,hrv_warming_up(need~30s)
2026-03-04 09:39:55,1772584795.005,153046,237089,78.6,78.6,,,,167,167,-3.0,0,0.22,0.24,0.89,0.85,1,1,hrv_warming_up(need~30s)
2026-03-04 09:39:56,1772584796.005,152933,236828,77.9,77.9,0.058,0.058,0.058,167,166,-3.0,0,0.36,0.33,0.90,0.86,1,1,
2026-03-04 09:39:57,1772584797.005,153251,238289,76.7,76.7,0.056,0.058,0.058,167,167,1.0,0,0.34,0.33,0.91,0.87,1,1,
2026-03-04 09:39:58,1772584798.005,153303,238818,79.2,79.2,0.058,0.058,0.058,165,165,-1.0,0,0.35,0.34,0.89,0.85,1,1,
2026-03-04 09:39:59,1772584799.005,151980,234080,76.5,76.5,0.058,0.058,0.058,164,164,-1.0,0,0.33,0.34,0.93,0.90,1,1,
2026-03-04 09:40:00,1772584800.005,152340,235591,77.4,77.4,0.057,0.058,0.058,169,165,0.0,0,0.33,0.34,0.93,0.90,1,1,
2026-03-04 09:40:01,1772584801.005,152861,237922,76.4,76.4,0.056,0.058,0.058,163,163,-2.0,0,0.35,0.34,0.93,0.90,1,1,
2026-03-04 09:40:02,1772584802.005,153116,239104,75.8,75.8,0.055,0.057,0.057,166,169,7.0,0,0.40,0.38,0.93,0.90,1,1,
2026-03-04 09:40:03,1772584803.005,152350,237125,75.3,75.3,0.052,0.056,0.056,164,164,-5.0,0,0.38,0.38,0.93,0.90,1,1,
2026-03-04 09:40:04,1772584804.005,152655,238952,78.4,78.4,0.053,0.056,0.056,161,163,-1.0,0,0.35,0.37,0.96,0.94,1,1,
2026-03-04 09:40:05,1772584805.005,152689,239338,78.4,78.4,0.053,0.055,0.055,162,162,-1.0,0,0.35,0.36,0.96,0.94,1,1,
2026-03-04 09:40:06,1772584806.005,152643,239202,78.4,78.4,0.053,0.055,0.055,161,160,-2.0,0,0.36,0.36,0.96,0.94,1,1,
2026-03-04 09:40:07,1772584807.005,152610,239373,78.4,78.4,0.053,0.055,0.055,162,162,2.0,0,0.36,0.36,0.96,0.94,1,1,
2026-03-04 09:40:08,1772584808.005,151584,235595,73.8,73.8,0.062,0.056,0.056,161,161,-1.0,0,0.33,0.35,0.91,0.88,1,1,
2026-03-04 09:40:09,1772584809.005,151907,237068,74.3,74.3,0.063,0.057,0.057,162,162,1.0,0,0.33,0.34,0.91,0.88,1,1,
2026-03-04 09:40:10,1772584810.005,152115,238159,71.6,71.6,0.064,0.058,0.058,161,161,-1.0,0,0.31,0.33,0.88,0.83,1,1,
2026-03-04 09:40:11,1772584811.005,152252,238982,77.7,77.7,0.074,0.061,0.061,164,164,3.0,0,0.35,0.35,0.83,0.75,1,1,
2026-03-04 09:40:12,1772584812.005,152325,239404,77.7,77.7,0.074,0.063,0.063,162,162,-2.0,0,0.33,0.34,0.83,0.75,1,1,
2026-03-04 09:40:13,1772584813.005,152387,239946,76.6,76.6,0.077,0.065,0.065,164,164,2.0,0,0.32,0.33,0.79,0.70,1,1,
2026-03-04 09:40:14,1772584814.005,151931,238381,76.2,76.2,0.076,0.067,0.067,162,162,-3.0,0,0.32,0.33,0.80,0.72,1,1,
2026-03-04 09:40:15,1772584815.005,24802,40412,,76.2,,0.067,0.067,161,161,-1.0,0,0.30,0.32,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:40:16,1772584815.938,1328,2057,,76.2,,0.067,0.067,159,162,-2.0,0,0.31,0.32,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:40:16,1772584817.005,1328,2057,,76.2,,0.067,0.067,181,181,19.0,1,0.49,0.45,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:40:18,1772584817.935,1328,2057,,76.2,,0.067,0.067,173,173,-12.0,1,0.42,0.44,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:40:19,1772584819.005,1328,2057,,76.2,,0.067,0.067,169,170,-3.0,1,0.33,0.40,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:40:20,1772584820.005,1328,2057,,76.2,,0.067,0.067,167,167,-3.0,1,0.33,0.38,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 09:40:21,1772584821.005,1328,2057,,76.2,,0.067,0.067,167,169,2.0,1,0.32,0.36,0.00,0.00,0,1,finger_off|hold_low_ppgQ
