ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 01:08:16,1772554096.439,8259,23124,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:08:17,1772554097.439,14052,30146,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:08:18,1772554098.439,976,4893,,,,,,235,238,0.0,0,0.00,0.00,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:08:19,1772554099.439,949,1925,,,,,,208,208,-30.0,0,0.70,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:08:20,1772554100.439,949,1925,,,,,,194,193,-15.0,0,0.52,0.52,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:08:21,1772554101.439,949,1925,,,,,,183,183,-10.0,0,0.35,0.46,0.00,0.00,0,1,finger_off|hold_low_ppgQ
