ts_iso,ts_unix,red,ir,bpm,rmssd_raw_s,rmssd_ema_s,rr_count_30s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 00:19:39,1772551179.313,82215,82178,,,,0,,,,0,0.0,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-04 00:19:40,1772551180.313,148954,227951,,,,0,,,,0,0.0,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-04 00:19:41,1772551181.313,149987,230668,,,,0,227,234.6,0.0,0,0.0,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:42,1772551182.313,150359,231471,,,,0,198,216.4,-29.0,0,0.7,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:43,1772551183.313,150400,232828,,,,0,182,204.4,-16.0,0,0.6,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:44,1772551184.313,150017,232679,,,,0,173,196.6,-9.0,0,0.3,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:45,1772551185.313,149795,231441,,,,0,169,190.4,-4.0,0,0.1,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:46,1772551186.313,149463,231107,,,,0,162,182.1,-7.0,0,0.2,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:47,1772551187.313,149077,230170,,,,0,160,172.4,-2.0,0,0.1,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:48,1772551188.313,147778,226982,,,,0,156,166.1,-4.0,0,0.1,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:49,1772551189.313,146682,223854,,,,0,154,161.6,-2.0,0,0.1,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:50,1772551190.313,147733,228655,,,,0,153,158.3,-1.0,0,0.0,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:51,1772551191.313,147667,229147,100.0,,,1,152,155.9,-1.0,0,0.3,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:52,1772551192.313,147167,227780,78.8,,,2,152,154.1,0.0,0,0.2,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:53,1772551193.313,147274,228956,75.7,,,3,150,152.9,-2.0,0,0.2,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:54,1772551194.313,147564,230856,77.0,,,4,151,152.0,1.0,0,0.2,0.37,0.09,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:55,1772551195.313,146953,228696,79.9,,,6,150,151.3,-1.0,0,0.2,0.51,0.30,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:56,1772551196.313,147094,229804,81.2,,,7,151,150.7,1.0,0,0.2,0.55,0.35,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:57,1772551197.313,147165,230231,82.0,,,8,148,150.0,-3.0,0,0.2,0.58,0.40,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:58,1772551198.313,146387,227654,82.0,,,8,149,149.4,1.0,0,0.2,0.58,0.40,1,1,hrv_warming_up(need~30s)
2026-03-04 00:19:59,1772551199.313,146285,228272,82.0,,,8,148,149.1,-1.0,0,0.2,0.58,0.40,1,1,hrv_warming_up(need~30s)
2026-03-04 00:20:00,1772551200.313,146425,229616,80.8,,,9,149,149.0,1.0,0,0.2,0.61,0.45,1,1,hrv_warming_up(need~30s)
2026-03-04 00:20:01,1772551201.313,145776,227531,81.2,,,11,148,148.7,-1.0,0,0.2,0.69,0.56,1,1,hrv_warming_up(need~30s)
2026-03-04 00:20:02,1772551202.313,146016,228009,80.3,0.151,0.151,12,148,148.7,0.0,0,0.1,0.71,0.58,1,1,
2026-03-04 00:20:03,1772551203.313,146454,230224,78.1,0.145,0.150,13,149,148.7,1.0,0,0.1,0.92,0.89,1,1,
2026-03-04 00:20:04,1772551204.313,146189,229283,77.7,0.135,0.148,15,148,148.6,-1.0,0,0.1,0.95,0.93,1,1,
2026-03-04 00:20:05,1772551205.313,146106,229074,78.2,0.130,0.145,16,148,148.3,0.0,0,0.1,0.95,0.93,1,1,
2026-03-04 00:20:06,1772551206.313,146447,230605,78.2,0.130,0.143,16,147,148.2,-1.0,0,0.1,0.95,0.93,1,1,
2026-03-04 00:20:07,1772551207.313,145883,228903,78.4,0.127,0.140,18,146,148.0,-1.0,0,0.1,0.92,0.89,1,1,
2026-03-04 00:20:08,1772551208.313,145966,228943,82.0,0.124,0.138,19,148,147.8,2.0,0,0.1,0.90,0.86,1,1,
2026-03-04 00:20:09,1772551209.313,146176,230353,82.5,0.121,0.135,20,149,147.6,1.0,0,0.1,0.90,0.86,1,1,
2026-03-04 00:20:10,1772551210.313,145430,227544,83.0,0.115,0.132,22,147,147.5,-2.0,0,0.1,0.90,0.86,1,1,
2026-03-04 00:20:11,1772551211.313,145608,229150,84.9,0.113,0.129,23,147,147.3,0.0,0,0.1,0.89,0.85,1,1,
2026-03-04 00:20:12,1772551212.313,144831,226178,85.7,0.108,0.126,25,146,147.2,-1.0,0,0.2,0.88,0.83,1,1,
2026-03-04 00:20:13,1772551213.313,145454,228342,84.8,0.107,0.123,26,145,147.0,-1.0,0,0.1,0.89,0.85,1,1,
2026-03-04 00:20:14,1772551214.313,145766,229824,82.5,0.105,0.120,27,145,146.7,0.0,0,0.1,0.91,0.87,1,1,
2026-03-04 00:20:15,1772551215.313,145392,228032,78.6,0.101,0.117,29,146,146.4,1.0,0,0.1,0.89,0.85,1,1,
2026-03-04 00:20:16,1772551216.313,146105,230096,78.7,0.100,0.115,30,147,146.2,1.0,0,0.1,0.90,0.86,1,1,
2026-03-04 00:20:17,1772551217.313,145898,229578,78.7,0.100,0.112,30,146,146.2,-1.0,0,0.1,0.90,0.86,1,1,
2026-03-04 00:20:18,1772551218.313,145394,227826,78.7,0.100,0.110,30,148,146.2,2.0,0,0.2,0.90,0.86,1,1,
2026-03-04 00:20:19,1772551219.313,145535,229197,75.6,0.099,0.109,31,146,146.4,-2.0,0,0.2,0.89,0.84,1,1,
2026-03-04 00:20:20,1772551220.313,145729,229173,75.6,0.099,0.107,31,146,146.4,0.0,0,0.1,0.89,0.84,1,1,
2026-03-04 00:20:21,1772551221.313,144887,226535,75.6,0.099,0.106,31,146,146.5,0.0,0,0.1,0.89,0.84,1,1,
2026-03-04 00:20:22,1772551222.313,144815,227176,75.6,0.099,0.105,31,147,146.6,1.0,0,0.2,0.89,0.84,1,1,
2026-03-04 00:20:23,1772551223.313,145062,227935,75.3,0.047,0.096,30,147,146.8,0.0,0,0.2,0.93,0.89,1,1,
2026-03-04 00:20:24,1772551224.313,145441,229622,75.2,0.044,0.088,30,147,147.0,0.0,0,0.2,0.96,0.94,1,1,
2026-03-04 00:20:25,1772551225.313,144767,226977,76.6,0.044,0.081,30,149,147.3,2.0,0,0.3,0.96,0.94,1,1,
2026-03-04 00:20:26,1772551226.313,145183,228452,76.0,0.046,0.076,29,148,147.6,-1.0,0,0.3,0.98,0.97,1,1,
2026-03-04 00:20:27,1772551227.313,145873,230795,77.1,0.046,0.071,29,148,147.6,0.0,0,0.3,0.97,0.96,1,1,
2026-03-04 00:20:28,1772551228.313,145229,229253,79.3,0.045,0.067,31,146,147.5,-2.0,0,0.3,0.94,0.92,1,1,
2026-03-04 00:20:29,1772551229.313,145746,231363,81.7,0.046,0.064,32,146,147.5,0.0,0,0.3,0.91,0.88,1,1,
2026-03-04 00:20:30,1772551230.313,146037,232137,80.6,0.046,0.061,33,148,147.3,2.0,0,0.4,0.94,0.91,1,1,
2026-03-04 00:20:31,1772551231.313,145236,229428,84.0,0.045,0.059,33,147,147.2,-1.0,0,0.4,0.91,0.88,1,1,
2026-03-04 00:20:32,1772551232.313,145732,231670,83.8,0.046,0.057,33,148,147.3,1.0,0,0.4,0.92,0.88,1,1,
2026-03-04 00:20:33,1772551233.313,145053,229312,85.3,0.046,0.055,33,146,147.3,-2.0,0,0.4,0.92,0.88,1,1,
2026-03-04 00:20:34,1772551234.313,145495,230971,86.4,0.045,0.053,33,149,147.2,3.0,0,0.4,0.92,0.88,1,1,
2026-03-04 00:20:35,1772551235.313,144876,228281,86.3,0.044,0.052,33,147,147.3,-2.0,0,0.4,0.93,0.90,1,1,
2026-03-04 00:20:36,1772551236.313,145162,229508,85.2,0.044,0.051,34,148,147.3,1.0,0,0.4,0.96,0.95,1,1,
2026-03-04 00:20:37,1772551237.313,145574,231120,86.3,0.039,0.049,34,147,147.1,-1.0,0,0.4,0.96,0.94,1,1,
2026-03-04 00:20:38,1772551238.313,144768,228603,86.3,0.039,0.047,34,146,146.9,-1.0,0,0.4,0.97,0.96,1,1,
2026-03-04 00:20:39,1772551239.313,145247,231573,85.2,0.040,0.046,34,147,146.7,1.0,0,0.4,0.98,0.98,1,1,
2026-03-04 00:20:40,1772551240.313,144465,227941,83.8,0.056,0.048,34,145,146.4,-2.0,0,0.4,0.91,0.88,1,1,
2026-03-04 00:20:41,1772551241.313,145076,230394,83.6,0.058,0.049,34,145,146.2,0.0,0,0.4,0.91,0.88,1,1,
