ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 01:05:10,1772553910.252,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:05:11,1772553911.252,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:05:12,1772553912.252,,,,,,,,251,255,0.0,0,0.00,0.00,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:13,1772553913.252,,,,,,,,221,221,-34.0,0,0.70,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:14,1772553914.252,,,,,,,,203,204,-17.0,0,0.59,0.57,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:15,1772553915.252,,,,,,,,191,191,-13.0,0,0.45,0.53,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:05:16,1772553916.252,,,,,,,,180,180,-11.0,0,0.39,0.48,0.00,0.00,0,1,finger_off|hold_low_ppgQ
