ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-04 01:06:40,1772554000.598,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:06:41,1772554001.598,,,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-04 01:06:42,1772554002.598,,,,,,,,244,246,0.0,0,0.00,0.00,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:43,1772554003.598,,,,,,,,216,216,-30.0,0,0.70,0.50,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:44,1772554004.598,,,,,,,,194,195,-21.0,0,0.70,0.64,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-04 01:06:45,1772554005.598,,,,,,,,185,185,-10.0,0,0.35,0.55,0.00,0.00,0,1,finger_off|hold_low_ppgQ
