ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-02-25 19:42:56,1772016176.544,812,1096,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-02-25 19:42:57,1772016177.544,809,1083,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-02-25 19:42:58,1772016178.544,817,1084,,,254,254.0,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:42:59,1772016179.544,835,1796,,,221,237.5,-33.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:43:00,1772016180.544,834,2034,,,200,225.0,-54.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:43:01,1772016181.544,,,,,184,214.8,-70.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-02-25 19:43:02,1772016182.544,,,,,174,206.6,-80.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
