ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-02-25 19:48:12,1772016492.166,722,883,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-02-25 19:48:13,1772016493.166,725,860,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-02-25 19:48:14,1772016494.166,39711,43493,,,232,232.0,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:48:15,1772016495.166,154600,168995,,,187,209.5,-45.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:48:16,1772016496.166,,,,,179,199.3,-53.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:48:17,1772016497.166,,,,,171,192.2,-61.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
