ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal_score,bio_confidence,ppg_quality,finger_on,gsr_fresh,note
2026-02-25 13:29:27,1771993767.795,1475,1412,,,,,,0,0.000,0.000,0.000,0,0,finger_off
2026-02-25 13:29:28,1771993768.795,1468,1417,,,,,,0,0.000,0.000,0.000,0,0,finger_off
2026-02-25 13:29:29,1771993769.795,1471,1410,,,249,249.00,0.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:29:30,1771993770.795,1471,1407,,,219,234.00,0.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:29:31,1771993771.795,1578,1798,,,196,221.33,-53.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:29:32,1771993772.795,2258,3981,,,182,211.50,-67.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:29:33,1771993773.795,173468,244161,,,170,203.20,-79.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:34,1771993774.795,175156,250645,,,163,186.00,-86.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:35,1771993775.795,175002,251200,,,156,173.40,-93.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:36,1771993776.795,174648,251019,,,153,170.00,-96.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:37,1771993777.795,174393,250834,,,150,158.40,-99.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:38,1771993778.795,174115,250565,,,147,153.80,-102.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:39,1771993779.795,173993,250742,,,146,150.40,-73.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:40,1771993780.795,173285,249900,,,143,149.17,-53.00,0,0.272,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:41,1771993781.795,173585,250867,,,143,147.00,-53.00,0,0.272,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:42,1771993782.795,173248,250393,58.5,,141,145.00,-29.00,0,0.085,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:43,1771993783.795,173151,250438,58.5,,142,143.67,-21.00,0,0.065,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:44,1771993784.795,172915,250201,58.5,,141,142.67,-15.00,0,0.049,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:45,1771993785.795,172820,250257,58.5,,140,141.40,-16.00,0,0.052,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 13:29:46,1771993786.795,172652,250137,59.4,0.1700,141,141.00,-9.00,0,0.025,0.492,0.274,1,1,
