ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal_score,bio_confidence,ppg_quality,finger_on,gsr_fresh,note
2026-02-25 13:29:47,1771993787.795,172489,250034,59.4,0.1700,139,140.67,-11.00,0,0.028,0.492,0.274,1,1,
2026-02-25 13:29:48,1771993788.795,172399,250058,59.4,0.1700,140,140.50,-7.00,0,0.021,0.492,0.274,1,1,
2026-02-25 13:29:49,1771993789.795,172486,250271,63.5,0.1700,139,140.00,-7.00,0,0.031,0.492,0.274,1,1,
2026-02-25 13:29:50,1771993790.795,172461,250275,61.6,0.1276,140,139.83,-3.00,0,0.029,0.725,0.607,1,1,
2026-02-25 13:29:51,1771993791.795,172340,250214,61.6,0.1276,139,139.40,-2.00,0,0.034,0.900,0.857,1,1,
2026-02-25 13:29:52,1771993792.795,172257,250185,50.5,0.4184,140,139.50,-1.00,0,0.001,0.300,0.000,1,1,
2026-02-25 13:29:53,1771993793.795,172128,249906,50.5,0.4184,140,139.67,-2.00,0,0.002,0.300,0.000,1,1,
2026-02-25 13:29:54,1771993794.795,171857,250147,47.7,0.4184,139,139.50,-2.00,0,0.002,0.300,0.000,1,1,
2026-02-25 13:29:55,1771993795.795,172162,250353,47.7,0.4184,139,139.50,-1.00,0,0.001,0.300,0.000,1,1,
2026-02-25 13:29:56,1771993796.795,172137,250420,50.6,0.5188,139,139.33,-2.00,0,0.002,0.300,0.000,1,1,
2026-02-25 13:29:57,1771993797.795,166521,213528,48.3,0.5188,140,139.40,0.00,0,0.000,0.300,0.000,1,1,
2026-02-25 13:29:58,1771993798.795,102673,129522,42.9,0.5188,138,139.00,-1.00,0,0.001,0.300,0.000,1,1,
2026-02-25 13:29:59,1771993799.795,154870,219288,42.9,0.5188,140,139.20,0.00,0,0.000,0.300,0.000,1,1,
2026-02-25 13:30:00,1771993800.795,159316,231390,63.8,0.4808,138,139.00,-1.00,0,0.013,0.300,0.000,1,1,
2026-02-25 13:30:01,1771993801.795,158542,230867,63.8,0.4808,138,138.80,-1.00,0,0.013,0.300,0.000,1,1,
2026-02-25 13:30:02,1771993802.795,158464,230600,63.8,0.4808,140,139.00,0.00,0,0.018,0.440,0.200,1,1,
2026-02-25 13:30:03,1771993803.795,156624,228756,63.8,0.4808,140,139.20,1.00,0,0.019,0.440,0.200,1,1,
2026-02-25 13:30:04,1771993804.795,157422,229384,,0.4808,141,139.50,2.00,0,0.005,0.440,0.200,1,1,
2026-02-25 13:30:05,1771993805.795,155769,227956,,0.4808,140,139.50,1.00,0,0.003,0.440,0.200,1,1,
2026-02-25 13:30:06,1771993806.795,153647,225499,,0.4808,141,140.40,1.00,0,0.003,0.440,0.200,1,1,
2026-02-25 13:30:07,1771993807.795,122950,162988,,0.4808,141,140.60,1.00,0,0.003,0.440,0.200,1,1,
2026-02-25 13:30:08,1771993808.795,142377,202115,,0.4808,139,140.33,1.00,0,0.003,0.440,0.200,1,1,
2026-02-25 13:30:09,1771993809.795,145504,207758,,0.5809,141,140.40,1.00,0,0.003,0.440,0.200,1,1,
2026-02-25 13:30:10,1771993810.795,145105,207261,41.5,0.6429,139,140.17,1.00,0,0.001,0.440,0.200,1,1,
2026-02-25 13:30:11,1771993811.795,146593,208193,41.5,0.6770,140,140.17,2.00,0,0.003,0.440,0.200,1,1,
2026-02-25 13:30:12,1771993812.795,129472,162070,41.5,0.7233,139,139.83,-1.00,0,0.001,0.440,0.200,1,1,
2026-02-25 13:30:13,1771993813.795,144752,199419,41.5,0.7233,139,139.50,-1.00,0,0.001,0.440,0.200,1,1,
2026-02-25 13:30:14,1771993814.795,147479,206963,41.5,0.7233,138,139.33,-3.00,0,0.004,0.440,0.200,1,1,
2026-02-25 13:30:15,1771993815.795,30331,49617,,,139,139.00,-1.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:30:16,1771993816.795,1845,1698,,,138,138.60,-3.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:30:17,1771993817.795,1860,1699,,,139,138.60,-2.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:30:18,1771993818.795,1850,1698,,,139,138.60,0.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:30:19,1771993819.795,1852,1694,,,139,138.80,-2.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:30:20,1771993820.795,1867,1694,,,140,139.00,0.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:30:21,1771993821.795,1864,1702,,,140,139.17,1.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:30:22,1771993822.795,1872,1707,,,141,139.67,2.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 13:30:23,1771993823.795,1881,1703,,,139,139.80,1.00,0,0.000,0.000,0.000,0,1,finger_off
