ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal_score,bio_confidence,ppg_quality,finger_on,gsr_fresh,note
2026-02-25 14:35:14,1771997714.426,1781,1628,,,,,,0,0.000,0.000,0.000,0,0,finger_off
2026-02-25 14:35:15,1771997715.426,1783,1627,,,,,,0,0.000,0.000,0.000,0,0,finger_off
2026-02-25 14:35:16,1771997716.426,1776,1627,,,250,250.00,0.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:17,1771997717.426,1773,1623,,,219,234.50,0.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:18,1771997718.426,1783,1623,,,199,222.67,-51.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:19,1771997719.426,1781,1625,,,183,212.75,-67.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:20,1771997720.426,1771,1622,,,173,204.80,-77.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:21,1771997721.426,1778,1626,,,164,187.60,-86.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:22,1771997722.426,1780,1632,,,159,175.60,-91.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:23,1771997723.426,1781,1627,,,155,166.80,-95.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:24,1771997724.426,1726,1618,,,175,168.17,-75.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:25,1771997725.426,36582,54274,,,143,161.50,-107.00,0,0.308,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 14:35:26,1771997726.426,6113,9547,,,139,155.83,-80.00,0,0.000,0.000,0.000,0,1,finger_off
2026-02-25 14:35:27,1771997727.426,170409,239194,,,142,150.80,-57.00,0,0.293,0.440,0.200,1,1,hrv_warming_up(need~30s)
2026-02-25 14:35:28,1771997728.426,170644,243388,,,142,148.20,-41.00,0,0.210,0.440,0.200,1,1,hrv_warming_up(need~30s)
