ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-02-25 19:54:08,1772016848.759,924,905,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-02-25 19:54:09,1772016849.759,878,890,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-02-25 19:54:10,1772016850.759,7350,7506,,,236,236.0,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-02-25 19:54:11,1772016851.759,138287,181690,,,204,220.0,0.0,0,,,0.00,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:12,1772016852.759,144905,194032,,,188,209.3,-48.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:13,1772016853.759,146576,196134,,,168,199.0,-68.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:14,1772016854.759,148142,200469,,,168,192.8,-68.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:15,1772016855.759,148976,201971,,,158,177.2,-78.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:16,1772016856.759,148317,200553,,,155,167.4,-81.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:17,1772016857.759,148192,199792,,,152,160.2,-84.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:18,1772016858.759,149783,204216,,,146,157.8,-90.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:19,1772016859.759,149368,203691,,,148,154.5,-88.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:20,1772016860.759,149303,203783,59.4,,145,150.7,-59.0,0,0.07,,1.00,0.00,0.4,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:54:21,1772016861.759,150139,206216,61.0,0.190,146,148.7,-42.0,0,0.09,0.00,1.00,0.00,0.2,0.5,0.3,1,1,
2026-02-25 19:54:22,1772016862.759,149119,203702,61.0,0.190,143,145.6,-25.0,0,0.09,0.00,1.00,0.00,0.2,0.5,0.3,1,1,
2026-02-25 19:54:23,1772016863.759,149931,205601,61.0,0.190,142,145.0,-26.0,0,0.09,0.00,1.00,0.00,0.2,0.5,0.3,1,1,
2026-02-25 19:54:24,1772016864.759,149401,204194,61.0,0.190,141,144.2,-27.0,0,0.09,0.00,1.00,0.00,0.2,0.5,0.3,1,1,
2026-02-25 19:54:25,1772016865.759,149332,204897,59.6,0.178,141,142.6,-14.0,0,0.07,0.00,0.70,0.00,0.2,0.7,0.5,1,1,
2026-02-25 19:54:26,1772016866.759,148443,202623,60.7,0.176,140,141.4,-12.0,0,0.09,0.00,0.60,0.00,0.1,0.7,0.6,1,1,
2026-02-25 19:54:27,1772016867.759,148819,204226,58.8,0.173,140,141.2,-12.0,0,0.06,0.00,0.60,0.00,0.1,0.7,0.6,1,1,
2026-02-25 19:54:28,1772016868.759,149295,205648,60.0,0.160,141,140.8,-5.0,0,0.08,0.00,0.25,0.00,0.1,0.7,0.6,1,1,
2026-02-25 19:54:29,1772016869.759,148535,203765,59.6,0.149,140,140.5,-8.0,0,0.07,0.00,0.40,0.00,0.1,0.8,0.7,1,1,
2026-02-25 19:54:30,1772016870.759,148151,202597,59.6,0.149,142,140.7,-3.0,0,0.07,0.00,0.15,0.00,0.1,0.8,0.7,1,1,
2026-02-25 19:54:31,1772016871.759,146452,197526,59.6,0.149,139,140.3,-7.0,0,0.07,0.00,0.35,0.00,0.1,0.8,0.7,1,1,
2026-02-25 19:54:32,1772016872.759,146660,200391,59.6,0.149,142,140.8,0.0,0,0.07,0.00,0.00,0.00,0.0,0.8,0.7,1,1,
2026-02-25 19:54:33,1772016873.759,144559,196172,60.8,0.149,132,139.0,-9.0,0,0.09,0.00,0.45,0.00,0.1,0.8,0.7,1,1,
2026-02-25 19:54:34,1772016874.759,146458,200243,57.1,0.156,140,139.0,-1.0,0,0.03,0.00,0.05,0.00,0.0,0.7,0.6,1,1,
2026-02-25 19:54:35,1772016875.759,144138,195436,58.5,0.160,140,138.6,0.0,0,0.05,0.00,0.00,0.00,0.0,0.7,0.6,1,1,
2026-02-25 19:54:36,1772016876.759,142441,190787,58.3,0.160,139,138.6,-1.0,0,0.05,0.00,0.05,0.00,0.0,0.8,0.7,1,1,
2026-02-25 19:54:37,1772016877.759,146557,205595,56.3,0.160,139,138.7,-1.0,0,0.02,0.00,0.05,0.00,0.0,0.7,0.6,1,1,
2026-02-25 19:54:38,1772016878.759,152379,222647,59.2,0.153,140,139.6,0.0,0,0.06,0.00,0.00,0.00,0.0,0.7,0.5,1,1,
2026-02-25 19:54:39,1772016879.759,153504,227564,61.7,0.147,142,140.0,0.0,0,0.10,0.00,0.00,0.00,0.0,0.6,0.4,1,1,
2026-02-25 19:54:40,1772016880.759,153434,226137,61.7,0.147,138,139.7,-1.0,0,0.10,0.00,0.05,0.00,0.0,0.6,0.4,1,1,
2026-02-25 19:54:41,1772016881.759,154249,229409,61.7,0.147,138,139.3,-4.0,0,0.10,0.00,0.20,0.00,0.1,0.6,0.4,1,1,
