ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-02-25 19:53:04,1772016784.804,82059,82232,,,,,,0,,,0.00,0.00,0.0,0.2,0.2,1,0,hrv_warming_up(need~30s)
2026-02-25 19:53:05,1772016785.804,152677,201290,,,,,,0,,,0.00,0.00,0.0,0.2,0.2,1,0,hrv_warming_up(need~30s)
2026-02-25 19:53:06,1772016786.804,152462,201404,,,240,240.0,0.0,0,,,0.00,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:08,1772016787.804,,,,,203,221.5,0.0,0,,,0.00,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:08,1772016788.804,,,,,188,210.3,-52.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:10,1772016789.804,,,,,173,201.0,-67.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:11,1772016790.804,,,,,164,193.6,-76.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:12,1772016791.804,,,,,158,177.2,-82.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:12,1772016792.804,,,,,154,167.4,-86.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:14,1772016793.804,,,,,151,164.7,-89.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:15,1772016794.804,,,,,148,155.0,-92.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:16,1772016795.804,,,,,145,153.3,-95.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:17,1772016796.804,,,,,144,150.0,-96.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:18,1772016797.804,,,,,143,146.2,-45.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:19,1772016798.804,,,,,141,145.3,-47.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:19,1772016799.804,,,,,141,143.7,-32.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:21,1772016800.804,,,,,140,141.8,-24.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:22,1772016801.804,,,,,141,141.2,-13.0,0,,,0.65,0.00,0.5,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:23,1772016802.804,,,,,140,141.0,-11.0,0,,,0.55,0.00,0.4,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:23,1772016803.804,,,,,141,140.6,-7.0,0,,,0.35,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:24,1772016804.804,,,,,140,140.4,-5.0,0,,,0.25,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:25,1772016805.804,,,,,142,140.8,-2.0,0,,,0.10,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:26,1772016806.804,,,,,140,140.6,-3.0,0,,,0.15,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:27,1772016807.804,,,,,141,140.8,0.0,0,,,0.00,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-02-25 19:53:28,1772016808.804,,,,,141,140.8,0.0,0,,,0.00,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
