ts_iso,ts_unix,red,ir,bpm,rmssd_raw_s,rmssd_ema_s,rr_count_30s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-05-05 20:54:19,1777982059.313,730,817,,,,0,,,0.00,0,0.000,0.000,0.000,0,0,NO_FINGER
2026-05-05 20:54:20,1777982060.313,710,792,,,,0,,,0.00,0,0.000,0.000,0.000,0,0,NO_FINGER
2026-05-05 20:54:21,1777982061.313,724,777,,,,0,674.00,674.71,-3.33,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:22,1777982062.313,732,819,,,,0,676.00,674.62,1.08,0,0.031,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:23,1777982063.313,725,811,,,,0,674.00,674.54,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:24,1777982064.313,729,819,,,,0,674.00,674.46,-1.09,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:25,1777982065.313,731,814,,,,0,674.00,674.47,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:26,1777982066.313,730,813,,,,0,675.00,674.39,1.09,0,0.031,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:27,1777982067.313,734,821,,,,0,674.00,674.37,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:28,1777982068.313,721,817,,,,0,675.00,674.37,1.04,0,0.030,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:29,1777982069.315,752,812,,,,0,675.00,674.41,1.02,0,0.029,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:30,1777982070.313,724,809,,,,0,675.00,674.37,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:31,1777982071.313,710,795,,,,0,674.00,674.45,-1.02,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:32,1777982072.313,724,814,,,,0,675.00,674.48,1.04,0,0.030,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:33,1777982073.313,732,809,,,,0,675.00,674.48,1.02,0,0.029,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:34,1777982074.313,729,809,,,,0,674.00,674.46,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:35,1777982075.313,730,804,,,,0,674.00,674.46,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:36,1777982076.313,728,810,,,,0,675.00,674.45,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:37,1777982077.313,729,808,,,,0,675.00,674.40,1.02,0,0.029,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:38,1777982078.313,728,802,,,,0,675.00,674.41,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:39,1777982079.313,729,806,,,,0,674.00,674.40,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:40,1777982080.313,732,814,,,,0,674.00,674.41,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:41,1777982081.313,726,817,,,,0,675.00,674.40,1.02,0,0.029,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:42,1777982082.313,766,809,,,,0,674.00,674.43,-1.02,0,0.000,0.000,0.000,0,1,NO_FINGER
2026-05-05 20:54:43,1777982083.313,727,850,,,,0,674.00,674.42,0.00,0,0.000,0.000,0.000,0,1,NO_FINGER
