timestamp_unix,fusion_timestamp,dominant_emotion,confidence,safe,stressed,alert_level,alert_reason,fer_neutral,fer_happy,fer_sad,fer_angry,fer_alert,fer_drowsy,bio_bpm,bio_hrv,bio_gsr,bio_safe,bio_stressed
1774268438.010,1774268438.0097141,safe,0.7611555038260345,0.7611555038260345,0.23884449617396553,NORMAL,Stress level is low (EMA=0.24),0.0034989535342901945,0.0013156285276636481,0.8633885383605957,0.13179683685302734,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.128,1774268438.1283495,safe,0.7611213124596579,0.7611213124596579,0.2388786875403421,NORMAL,Stress level is low (EMA=0.24),0.0030622887425124645,0.0016098031774163246,0.8844491839408875,0.11087861657142639,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.183,1774268438.1828468,safe,0.7744115263487549,0.7744115263487549,0.22558847365124518,NORMAL,Stress level is low (EMA=0.23),0.04078767076134682,0.019260307773947716,0.7932525873184204,0.14669932425022125,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.234,1774268438.2343268,safe,0.7720559555733858,0.7720559555733858,0.2279440444266142,NORMAL,Stress level is low (EMA=0.23),0.03179055452346802,0.018442543223500252,0.6885794401168823,0.261187344789505,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.284,1774268438.2837863,safe,0.7734581948596897,0.7734581948596897,0.22654180514031028,NORMAL,Stress level is low (EMA=0.23),0.025876980274915695,0.03019878640770912,0.5653120875358582,0.37861204147338867,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.331,1774268438.3311594,safe,0.7731281945104774,0.7731281945104774,0.22687180548952257,NORMAL,Stress level is low (EMA=0.23),0.020906949415802956,0.03379380702972412,0.4977434575557709,0.44755566120147705,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.377,1774268438.3772287,safe,0.7738111966370866,0.7738111966370866,0.22618880336291342,NORMAL,Stress level is low (EMA=0.23),0.018647100776433945,0.038899488747119904,0.4285848140716553,0.5138684511184692,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.424,1774268438.4240026,safe,0.7774787664092648,0.7774787664092648,0.22252123359073528,NORMAL,Stress level is low (EMA=0.23),0.01750708371400833,0.05532103031873703,0.41450703144073486,0.5126646757125854,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.469,1774268438.469028,safe,0.7783981740049835,0.7783981740049835,0.22160182599501654,NORMAL,Stress level is low (EMA=0.23),0.01915852352976799,0.05750046670436859,0.44559645652770996,0.4777444005012512,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.514,1774268438.5141237,safe,0.7883326088226797,0.7883326088226797,0.21166739117732028,NORMAL,Stress level is low (EMA=0.22),0.0283733569085598,0.08967912197113037,0.4389721155166626,0.4429752826690674,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.561,1774268438.5606782,safe,0.7854562100606572,0.7854562100606572,0.21454378993934273,NORMAL,Stress level is low (EMA=0.22),0.022999674081802368,0.08306781947612762,0.43450844287872314,0.4594239592552185,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.607,1774268438.6072643,safe,0.7849548534428696,0.7849548534428696,0.21504514655713033,NORMAL,Stress level is low (EMA=0.22),0.023865655064582825,0.08011285960674286,0.42167845368385315,0.474342942237854,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.654,1774268438.6535785,safe,0.7803863056614028,0.7803863056614028,0.21961369433859723,NORMAL,Stress level is low (EMA=0.22),0.019934626296162605,0.0650082677602768,0.4222952723503113,0.4927617311477661,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.703,1774268438.7028708,safe,0.7831392863682951,0.7831392863682951,0.21686071363170495,NORMAL,Stress level is low (EMA=0.22),0.0192231647670269,0.07719049602746964,0.429734468460083,0.4738517999649048,1.0,0.0,0.0,0.0,675.0,1.0,0.0
1774268438.749,1774268438.7489972,safe,0.785616753294006,0.785616753294006,0.21438324670599396,NORMAL,Stress level is low (EMA=0.22),0.014090972021222115,0.09264546632766724,0.3379388153553009,0.5553246736526489,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268438.795,1774268438.7953725,safe,0.7887059972764842,0.7887059972764842,0.21129400272351587,NORMAL,Stress level is low (EMA=0.22),0.016192888841032982,0.10341541469097137,0.3795778155326843,0.5008138418197632,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268438.842,1774268438.8415103,safe,0.78833601982717,0.78833601982717,0.21166398017282995,NORMAL,Stress level is low (EMA=0.21),0.023663120344281197,0.09440359473228455,0.35933971405029297,0.5225934982299805,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268438.888,1774268438.8878305,safe,0.7853322531595356,0.7853322531595356,0.21466774684046447,NORMAL,Stress level is low (EMA=0.21),0.019382717087864876,0.0861683040857315,0.3423839509487152,0.5520649552345276,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268438.933,1774268438.9331353,safe,0.7871015038655524,0.7871015038655524,0.21289849613444753,NORMAL,Stress level is low (EMA=0.21),0.018549393862485886,0.09437350928783417,0.36100488901138306,0.5260721445083618,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268438.979,1774268438.979146,safe,0.7906612358807547,0.7906612358807547,0.20933876411924537,NORMAL,Stress level is low (EMA=0.21),0.02332669496536255,0.10442844033241272,0.36659592390060425,0.5056489109992981,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268439.028,1774268439.0283735,safe,0.7939403380995711,0.7939403380995711,0.20605966190042896,NORMAL,Stress level is low (EMA=0.21),0.01905091665685177,0.12236713618040085,0.3061474561691284,0.5524344444274902,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268439.075,1774268439.0745068,safe,0.793744561297092,0.793744561297092,0.206255438702908,NORMAL,Stress level is low (EMA=0.21),0.02543165720999241,0.11517064273357391,0.33456239104270935,0.5248352289199829,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268439.122,1774268439.1214886,safe,0.7864422550065984,0.7864422550065984,0.2135577449934016,NORMAL,Stress level is low (EMA=0.21),0.020162153989076614,0.09001386165618896,0.3870924413204193,0.502731442451477,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268439.166,1774268439.1660457,safe,0.7834665430402695,0.7834665430402695,0.2165334569597305,NORMAL,Stress level is low (EMA=0.21),0.023959852755069733,0.07381737232208252,0.3855619430541992,0.516660749912262,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268439.212,1774268439.2119982,safe,0.7817858177945083,0.7817858177945083,0.21821418220549177,NORMAL,Stress level is low (EMA=0.21),0.02147846668958664,0.0692957267165184,0.38264042139053345,0.5265852808952332,1.0,0.0,0.0,0.0,674.0,1.0,0.0
1774268439.258,1774268439.2582748,safe,0.7849988066311325,0.7849988066311325,0.21500119336886747,NORMAL,Stress level is low (EMA=0.21),0.019723569974303246,0.08443808555603027,0.38239800930023193,0.5134402513504028,1.0,0.0,0.0,0.0,674.0,1.0,0.0
