ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-03 18:45:40,1772531140.561,716,862,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-03-03 18:45:41,1772531141.561,725,872,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-03-03 18:45:42,1772531142.561,775,939,,,241,248.6,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-03-03 18:45:43,1772531143.561,148992,224061,,,213,231.6,-28.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:44,1772531144.561,151901,236014,,,197,219.6,-16.0,0,,,0.80,0.00,0.6,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:45,1772531145.561,151707,237566,,,185,211.0,-12.0,0,,,0.60,0.00,0.4,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:46,1772531146.561,151387,237783,,,177,203.9,-8.0,0,,,0.40,0.00,0.3,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:47,1772531147.561,150781,236489,,,170,194.7,-7.0,0,,,0.35,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:48,1772531148.561,150606,236579,,,166,183.2,-4.0,0,,,0.20,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:49,1772531149.561,150416,236640,,,162,175.3,-4.0,0,,,0.20,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:50,1772531150.561,150004,235915,,,161,169.4,-1.0,0,,,0.05,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:51,1772531151.561,149986,236242,,,158,165.0,-3.0,0,,,0.15,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:52,1772531152.561,149848,236215,81.1,,158,161.7,0.0,0,0.40,,0.00,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:45:53,1772531153.561,149654,235796,81.1,0.259,155,159.2,-3.0,0,0.40,0.00,0.15,0.00,0.2,0.5,0.3,1,1,
2026-03-03 18:45:54,1772531154.561,149317,235402,77.3,0.288,153,157.0,-2.0,0,0.34,0.00,0.10,0.00,0.1,0.5,0.2,1,1,
2026-03-03 18:45:55,1772531155.561,149468,236133,78.3,0.272,151,155.2,-2.0,0,0.36,0.00,0.10,0.00,0.1,0.5,0.3,1,1,
2026-03-03 18:45:56,1772531156.561,149041,234639,80.0,0.231,150,153.8,-1.0,0,0.38,0.00,0.05,0.00,0.1,0.6,0.4,1,1,
2026-03-03 18:45:57,1772531157.561,149133,235115,80.0,0.231,149,152.4,-1.0,0,0.38,0.00,0.05,0.00,0.1,0.6,0.4,1,1,
2026-03-03 18:45:58,1772531158.561,149371,236026,71.8,0.367,150,151.4,1.0,0,0.26,0.00,0.05,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:45:59,1772531159.561,149113,235307,74.4,0.436,150,150.7,0.0,0,0.30,0.00,0.00,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:00,1772531160.561,148977,235428,74.1,0.415,148,150.3,-2.0,0,0.29,0.00,0.10,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:01,1772531161.561,148770,234478,74.4,0.382,150,149.8,2.0,0,0.30,0.00,0.10,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:02,1772531162.561,148796,235084,76.3,0.368,148,149.6,-2.0,0,0.33,0.00,0.10,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:03,1772531163.561,148938,235667,76.3,0.356,151,149.3,3.0,0,0.33,0.00,0.15,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:04,1772531164.561,148799,235089,75.9,0.337,147,148.9,-4.0,0,0.32,0.00,0.20,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:05,1772531165.561,148766,235321,75.9,0.330,149,148.7,2.0,0,0.32,0.00,0.10,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:06,1772531166.561,148805,235682,82.4,0.321,148,148.5,-1.0,0,0.42,0.00,0.05,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:07,1772531167.561,148315,234095,82.4,0.313,148,148.4,0.0,0,0.42,0.00,0.00,0.00,0.1,0.3,0.0,1,1,
2026-03-03 18:46:08,1772531168.561,148360,234218,82.3,0.313,148,148.2,0.0,0,0.42,0.00,0.00,0.00,0.1,0.9,0.9,1,1,
2026-03-03 18:46:09,1772531169.561,147936,232817,82.0,0.313,146,148.2,-2.0,0,0.42,0.00,0.10,0.00,0.1,0.9,0.9,1,1,
2026-03-03 18:46:10,1772531170.561,147903,232962,81.8,0.313,148,148.0,2.0,0,0.41,0.00,0.10,0.00,0.1,0.9,0.8,1,1,
