ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-03 18:49:52,1772531392.019,78726,82127,,,,,,0,,,0.00,0.00,0.0,0.2,0.2,1,0,hrv_warming_up(need~30s)
2026-03-03 18:49:53,1772531393.019,154259,236707,,,,,,0,,,0.00,0.00,0.0,0.2,0.2,1,0,hrv_warming_up(need~30s)
2026-03-03 18:49:54,1772531394.019,154589,239949,,,253,262.7,0.0,0,,,0.00,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:49:55,1772531395.019,154806,240278,,,223,243.1,-30.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:49:56,1772531396.019,154727,241141,,,203,229.4,-20.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:49:57,1772531397.019,153963,238457,,,192,219.5,-11.0,0,,,0.55,0.00,0.4,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:49:58,1772531398.019,153889,238724,,,181,211.4,-11.0,0,,,0.55,0.00,0.4,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:49:59,1772531399.019,154042,239832,,,176,201.1,-5.0,0,,,0.25,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:50:00,1772531400.019,154210,240164,,,168,188.1,-8.0,0,,,0.40,0.00,0.3,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:50:01,1772531401.019,153444,237400,76.9,,165,179.1,-3.0,0,0.34,,0.15,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 18:50:02,1772531402.019,153612,238756,78.9,0.040,162,172.6,-3.0,0,0.37,0.73,0.15,0.00,0.4,0.7,0.5,1,1,
2026-03-03 18:50:03,1772531403.019,153914,240335,78.9,0.040,159,167.8,-3.0,0,0.37,0.73,0.15,0.00,0.4,1.0,0.9,1,1,
