ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-03 20:01:47,1772535706.256,2150,5060,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-03-03 20:01:47,1772535707.275,744,1208,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-03-03 20:01:48,1772535708.256,759,933,,,251,265.0,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-03-03 20:01:49,1772535709.256,787,861,,,219,242.2,-32.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-03-03 20:01:50,1772535710.256,15248,16399,,,200,228.0,-19.0,0,,,0.95,0.00,0.7,0.0,0.0,0,1,finger_off
2026-03-03 20:01:51,1772535711.256,142813,197787,,,189,217.8,-11.0,0,,,0.55,0.00,0.4,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:01:52,1772535712.256,131923,179173,,,177,209.4,-12.0,0,,,0.60,0.00,0.4,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:01:53,1772535713.256,147757,228393,,,177,198.6,0.0,0,,,0.00,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:01:54,1772535714.256,147267,229010,,,165,185.6,-12.0,0,,,0.60,0.00,0.4,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:01:55,1772535715.256,147162,229673,,,167,176.6,2.0,0,,,0.10,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:01:56,1772535716.256,146930,229281,,,160,170.6,-7.0,0,,,0.35,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:01:57,1772535717.256,146814,229950,,,162,166.3,2.0,0,,,0.10,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:01:58,1772535718.256,146490,230035,,,156,163.2,-6.0,0,,,0.30,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:01:59,1772535719.256,146296,230383,,,157,161.2,1.0,0,,,0.05,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 20:02:00,1772535720.256,146011,230441,,,153,159.3,-4.0,0,,,0.20,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
