ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-03 19:34:33,1772534073.835,82253,82158,,,,,,0,,,0.00,0.00,0.0,0.2,0.2,1,0,hrv_warming_up(need~30s)
2026-03-03 19:34:34,1772534074.835,142167,223329,,,,,,0,,,0.00,0.00,0.0,0.2,0.2,1,0,hrv_warming_up(need~30s)
2026-03-03 19:34:35,1772534075.835,143114,226780,,,248,255.0,0.0,0,,,0.00,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:36,1772534076.835,143359,228287,,,218,237.5,-30.0,0,,,1.00,0.00,0.7,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:37,1772534077.835,143314,229428,,,202,225.0,-16.0,0,,,0.80,0.00,0.6,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:38,1772534078.835,142214,225394,,,189,216.0,-13.0,0,,,0.65,0.00,0.5,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:39,1772534079.835,142939,229530,,,179,208.4,-10.0,0,,,0.50,0.00,0.3,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:40,1772534080.835,142746,229324,,,172,198.6,-7.0,0,,,0.35,0.00,0.2,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:41,1772534081.835,142523,228890,,,168,186.5,-4.0,0,,,0.20,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:42,1772534082.835,142468,229471,57.7,,164,177.8,-4.0,0,0.04,,0.20,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:43,1772534083.835,142414,229711,56.6,,159,171.4,-5.0,0,0.02,,0.25,0.00,0.1,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:44,1772534084.835,142156,229183,56.6,,157,166.3,-2.0,0,0.02,,0.10,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:45,1772534085.835,141782,227934,56.6,,156,162.4,-1.0,0,0.02,,0.05,0.00,0.0,0.4,0.2,1,1,hrv_warming_up(need~30s)
2026-03-03 19:34:46,1772534086.835,141996,229533,61.7,0.144,156,159.5,0.0,0,0.10,0.00,0.00,0.00,0.0,0.5,0.3,1,1,
2026-03-03 19:34:47,1772534087.835,141867,229493,61.7,0.144,152,157.1,-4.0,0,0.10,0.00,0.20,0.00,0.1,0.5,0.3,1,1,
2026-03-03 19:34:48,1772534088.835,142013,230107,61.7,0.144,153,155.2,1.0,0,0.10,0.00,0.05,0.00,0.0,0.5,0.3,1,1,
2026-03-03 19:34:49,1772534089.835,142025,230540,61.7,0.144,151,154.0,-2.0,0,0.10,0.00,0.10,0.00,0.1,0.5,0.3,1,1,
2026-03-03 19:34:50,1772534090.835,141734,229516,61.7,0.144,152,153.1,1.0,0,0.10,0.00,0.05,0.00,0.0,0.5,0.3,1,1,
2026-03-03 19:34:51,1772534091.835,141788,230206,61.7,0.144,150,152.2,-2.0,0,0.10,0.00,0.10,0.00,0.1,0.5,0.3,1,1,
2026-03-03 19:34:52,1772534092.835,141768,230310,70.0,0.150,149,151.4,-1.0,0,0.23,0.00,0.05,0.00,0.1,0.3,0.1,1,1,
2026-03-03 19:34:53,1772534093.835,141065,227284,74.1,0.119,149,150.8,0.0,0,0.29,0.01,0.00,0.00,0.1,0.8,0.7,1,1,
2026-03-03 19:34:54,1772534094.835,141100,227750,74.5,0.108,148,150.2,-1.0,0,0.30,0.11,0.05,0.00,0.1,0.8,0.8,1,1,
2026-03-03 19:34:55,1772534095.835,141552,230229,58.6,0.207,149,149.6,1.0,0,0.06,0.00,0.05,0.00,0.0,0.3,0.0,1,1,
