ts_iso,ts_unix,red,ir,bpm,rmssd_s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bpm_c,rmssd_inv,gsr_slope_c,gsr_peak_c,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-03 18:30:06,1772530206.450,,,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-03-03 18:30:07,1772530207.450,,,,,,,,0,,,0.00,0.00,0.0,0.0,0.0,0,0,finger_off
2026-03-03 18:30:08,1772530208.450,,,,,256,256.0,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-03-03 18:30:09,1772530209.450,,,,,227,241.5,0.0,0,,,0.00,0.00,0.0,0.0,0.0,0,1,finger_off
2026-03-03 18:30:10,1772530210.450,,,,,247,243.3,-9.0,0,,,0.45,0.00,0.3,0.0,0.0,0,1,finger_off
2026-03-03 18:30:11,1772530211.450,,,,,226,239.0,-30.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
2026-03-03 18:30:12,1772530212.450,,,,,192,229.6,-64.0,0,,,1.00,0.00,0.7,0.0,0.0,0,1,finger_off
