ts_iso,ts_unix,red,ir,bpm,rmssd,rmssd_ema,gsr,gsr_mean_5s,gsr_slope_1s,eda_tonic,eda_phasic_rms_10s,eda_scr_rate_per_min,baseline_ready,z_hr,z_lnrmssd,z_eda,S,arousal_rel,arousal,calm,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-03 20:39:42,1772537982.658,82161,82100,,,,,,,,,,0,0.00,0.00,0.00,0.00,,,,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-03 20:39:43,1772537983.658,65124,105585,,,,,,,,,,0,0.00,0.00,0.00,0.00,,,,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-03 20:39:44,1772537984.658,158719,236860,,,,230,238.6,0.0,248.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:45,1772537985.658,159215,237278,31.3,,,202,221.0,-28.0,245.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:46,1772537986.658,159051,238446,47.6,,,183,208.1,-19.0,240.2,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:47,1772537987.658,158649,238753,47.6,,,173,199.3,-10.0,234.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:48,1772537988.658,158147,238614,47.6,,,166,192.3,-7.0,228.0,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:49,1772537989.658,157755,238568,47.6,,,161,183.5,-5.0,222.1,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:50,1772537990.658,157396,238557,47.6,,,156,172.3,-5.0,215.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:51,1772537991.658,157117,238784,47.6,,,155,165.0,-1.0,210.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:52,1772537992.658,156778,238717,47.6,,,152,160.1,-3.0,204.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:53,1772537993.658,156546,238686,47.6,,,150,156.6,-2.0,199.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:54,1772537994.658,156184,238523,47.6,,,151,153.8,1.0,195.0,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:55,1772537995.658,155970,238509,70.2,,,149,152.1,-2.0,190.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:56,1772537996.658,152182,232612,93.3,,,151,150.8,2.0,186.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:57,1772537997.658,152182,232612,93.3,,,148,149.8,-3.0,183.1,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:58,1772537998.658,152182,232612,93.3,,,149,149.1,1.0,179.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:39:59,1772537999.658,152182,232612,93.3,,,146,148.4,-3.0,176.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:00,1772538000.658,152182,232612,93.3,,,147,148.0,1.0,173.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:01,1772538001.658,152182,232612,93.3,,,146,147.5,-1.0,171.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:02,1772538002.658,152182,232612,93.3,,,147,147.4,1.0,168.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:03,1772538003.658,152182,232612,93.3,,,126,147.1,-21.0,166.9,0.48,6.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:04,1772538004.658,152182,232612,93.3,,,148,146.7,22.0,164.8,0.48,6.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:05,1772538005.658,152182,232612,93.3,,,145,146.6,-3.0,163.2,0.48,6.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
