ts_iso,ts_unix,red,ir,bpm,rmssd,rmssd_ema,gsr,gsr_mean_5s,gsr_slope_1s,eda_tonic,eda_phasic_rms_10s,eda_scr_rate_per_min,baseline_ready,z_hr,z_lnrmssd,z_eda,S,arousal_rel,arousal,calm,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-03 20:40:08,1772538008.845,82125,82216,,,,,,,,,,0,0.00,0.00,0.00,0.00,,,,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-03 20:40:09,1772538009.845,159373,244407,,,,,,,,,,0,0.00,0.00,0.00,0.00,,,,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-03 20:40:10,1772538010.845,161515,246017,,,,235,243.6,0.0,254.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:11,1772538011.845,161431,246122,,,,207,224.3,-28.0,251.1,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:12,1772538012.845,161938,247562,,,,185,211.2,-22.0,245.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:13,1772538013.845,161708,243736,,,,175,202.0,-10.0,239.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:14,1772538014.845,162255,247459,,,,164,194.2,-11.0,232.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:15,1772538015.845,161962,247777,,,,161,184.4,-3.0,226.0,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:16,1772538016.845,161840,247913,65.2,,,156,172.6,-5.0,219.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:17,1772538017.845,161354,245893,54.7,,,154,164.8,-2.0,213.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:18,1772538018.845,161244,245927,53.1,,,152,159.4,-2.0,207.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:19,1772538019.845,161187,245802,59.8,,,150,155.8,-2.0,202.2,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.33,0.05,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:20,1772538020.845,161007,245091,61.0,,,148,153.4,-2.0,197.1,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.41,0.16,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:21,1772538021.845,161092,246326,65.5,,,147,151.3,-1.0,192.5,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.40,0.14,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:22,1772538022.845,160681,244620,65.5,,,147,149.7,0.0,188.1,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.40,0.14,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:23,1772538023.845,160397,243803,65.5,,,147,148.6,0.0,184.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.40,0.14,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:24,1772538024.845,160365,244444,59.8,,,146,147.6,-1.0,180.6,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.44,0.21,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:25,1772538025.845,161428,248611,56.5,,,145,146.9,-1.0,177.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.47,0.25,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:26,1772538026.848,161224,248457,56.5,,,147,146.6,2.0,174.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.47,0.25,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:27,1772538027.845,161218,248508,56.5,,,146,146.5,-1.0,171.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.47,0.25,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:28,1772538028.845,160607,244897,56.5,,,148,146.2,2.0,169.2,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.47,0.25,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:29,1772538029.845,160527,244189,56.5,,,144,145.8,-4.0,166.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.47,0.25,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:30,1772538030.845,161318,248598,52.9,,,145,145.4,1.0,164.7,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.47,0.24,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:31,1772538031.845,161110,248396,58.6,,,143,145.0,-2.0,162.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.62,0.45,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:32,1772538032.845,160985,248042,58.6,,,144,144.4,1.0,160.9,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.62,0.45,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:33,1772538033.845,160843,247991,58.6,,,142,143.9,-2.0,159.3,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.62,0.45,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:34,1772538034.845,160760,247747,58.6,,,144,143.9,2.0,157.8,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.62,0.45,1,1,hrv_warming_up(need~30s)
2026-03-03 20:40:35,1772538035.845,160585,247175,58.6,,,143,143.6,-1.0,156.4,0.00,0.0,0,0.00,0.00,0.00,0.00,,,,0.62,0.45,1,1,hrv_warming_up(need~30s)
