ts_iso,ts_unix,red,ir,bpm_raw,bpm_filt,rmssd_raw,rmssd_ema,rmssd_filt,gsr_raw,gsr_filt,gsr_slope_1s,gsr_peak_10s,arousal_raw,arousal_filt,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-22 14:06:56,1774156016.828,605,960,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-22 14:06:57,1774156017.829,701,801,,,,,,,,,0,0.00,0.00,0.00,0.00,0,0,finger_off|hold_low_ppgQ
2026-03-22 14:06:58,1774156018.829,882,2483,,,,,,675,675,0.0,0,0.00,0.00,0.00,0.00,0,1,finger_off|hold_low_ppgQ
2026-03-22 14:06:59,1774156019.829,162269,229499,,,,,,674,674,-1.0,0,0.03,0.02,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-22 14:07:00,1774156020.829,161782,229058,,,,,,675,675,1.0,0,0.03,0.03,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-22 14:07:01,1774156021.829,161475,228103,,,,,,675,675,0.0,0,0.00,0.02,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-22 14:07:02,1774156022.829,161836,231063,,,,,,675,675,0.0,0,0.00,0.01,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-22 14:07:03,1774156023.829,161670,232513,,,,,,674,674,-1.0,0,0.03,0.03,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
2026-03-22 14:07:04,1774156024.829,161321,231726,,,,,,675,675,1.0,0,0.03,0.03,0.30,0.00,1,1,hrv_warming_up(need~30s)|hold_low_ppgQ
