ts_iso,ts_unix,red,ir,bpm,rmssd_raw_s,rmssd_ema_s,rr_count_30s,gsr,gsr_mean_5s,gsr_slope_1s,gsr_peak_10s,bio_arousal,bio_conf,ppgQ,finger_on,gsr_fresh,note
2026-03-22 15:18:02,1774160282.239,82168,82184,,,,0,,,,0,0.0,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-22 15:18:03,1774160283.239,165886,236961,,,,0,,,,0,0.0,0.12,0.00,1,0,hrv_warming_up(need~30s)
2026-03-22 15:18:04,1774160284.239,167401,239819,,,,0,675,675.1,0.0,0,0.0,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:05,1774160285.239,166546,237703,,,,0,675,675.0,0.0,0,0.0,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:06,1774160286.239,165916,236558,,,,0,674,674.9,-1.0,0,0.0,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:07,1774160287.239,159695,220775,,,,0,675,674.9,1.0,0,0.0,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:08,1774160288.239,163222,235010,,,,0,675,674.9,0.0,0,0.0,0.30,0.00,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:09,1774160289.239,162620,235224,166.7,,,1,675,674.9,0.0,0,0.5,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:10,1774160290.239,162406,235817,104.8,,,2,675,674.8,0.0,0,0.3,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:11,1774160291.239,162001,235561,104.8,,,2,675,674.8,0.0,0,0.3,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:12,1774160292.239,161517,235698,104.8,,,2,675,674.8,0.0,0,0.3,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:13,1774160293.239,161355,236131,104.8,,,2,675,674.8,0.0,0,0.3,0.44,0.20,1,1,hrv_warming_up(need~30s)
2026-03-22 15:18:14,1774160294.239,161209,236550,100.9,,,3,675,674.8,0.0,0,0.3,0.44,0.20,1,1,hrv_warming_up(need~30s)
